org.wso2.carbon.hsqldb_1.8.0.7.jar,bundle,hsqldb
org.wso2.carbon.http.bridge_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.httpcore.nio_4.0-beta1.jar,bundle,apache2
org.wso2.carbon.httpcore_4.0-beta1.jar,bundle,apache2
org.wso2.carbon.i18n_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.jakarta.taglibs_1.1.2.jar,bundle,apache2
org.wso2.carbon.java2wsdl.ui_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.java2wsdl_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.jaxbri_2.1.6.jar,bundle,cddl1
org.wso2.carbon.jaxws_2.1.jar,bundle,cddl1
org.wso2.carbon.jaxwsservices.ui_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.jaxwsservices_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.jibx_1.1.5.jar,bundle,bsd
org.wso2.carbon.js_1.6R5.jar,bundle,mpl11
org.wso2.carbon.localentry.ui_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.localentry_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.logging.admin.ui_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.logging.service_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.logging.view.ui_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.logging_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.mediation.configadmin.ui_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.mediation.configadmin_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.mediation.registry_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.mediation.statistics.ui_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.mediation.statistics_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.mediation.tracer.ui_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.mediation.tracer_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.mediation.utils_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.mediator.aggregate.ui_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.mediator.aggregate_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.mediator.cache.ui_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.mediator.cache_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.mediator.callout.ui_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.mediator.callout_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.mediator.clazz.ui_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.mediator.clazz_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.mediator.clone.ui_SNAPSHOT.jar,bundle,apache2
org.wso2.carbon.mediator.clone_SNAPSHOT.jar,bundle,apache2
